Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,Active Case
30-Jan,1,1,0,0,0,0,1
31-Jan,0,1,0,0,0,0,1
1-Feb,0,1,0,0,0,0,1
2-Feb,1,2,0,0,0,0,2
3-Feb,1,3,0,0,0,0,3
4-Feb,0,3,0,0,0,0,3
5-Feb,0,3,0,0,0,0,3
6-Feb,0,3,0,0,0,0,3
7-Feb,0,3,0,0,0,0,3
8-Feb,0,3,0,0,0,0,3
9-Feb,0,3,0,0,0,0,3
10-Feb,0,3,0,0,0,0,3
11-Feb,0,3,0,0,0,0,3
12-Feb,0,3,0,0,0,0,3
13-Feb,0,3,1,1,0,0,2
14-Feb,0,3,0,1,0,0,2
15-Feb,0,3,0,1,0,0,2
16-Feb,0,3,1,2,0,0,1
17-Feb,0,3,0,2,0,0,1
18-Feb,0,3,0,2,0,0,1
19-Feb,0,3,0,2,0,0,1
20-Feb,0,3,1,3,0,0,0
21-Feb,0,3,0,3,0,0,0
22-Feb,0,3,0,3,0,0,0
23-Feb,0,3,0,3,0,0,0
24-Feb,0,3,0,3,0,0,0
25-Feb,0,3,0,3,0,0,0
26-Feb,0,3,0,3,0,0,0
27-Feb,0,3,0,3,0,0,0
28-Feb,0,3,0,3,0,0,0
29-Feb,0,3,0,3,0,0,0
1-Mar,0,3,0,3,0,0,0
2-Mar,2,5,0,3,0,0,2
3-Mar,1,6,0,3,0,0,3
4-Mar,22,28,0,3,0,0,25
5-Mar,2,30,0,3,0,0,27
6-Mar,1,31,0,3,0,0,28
7-Mar,3,34,0,3,0,0,31
8-Mar,5,39,0,3,0,0,36
9-Mar,9,48,0,3,0,0,45
10-Mar,15,63,1,4,0,0,59
11-Mar,8,71,0,4,0,0,67
12-Mar,10,81,0,4,1,1,76
13-Mar,10,91,6,10,0,1,80
14-Mar,11,102,0,10,1,2,90
15-Mar,10,112,3,13,0,2,97
16-Mar,14,126,1,14,0,2,110
17-Mar,20,146,1,15,1,3,128
18-Mar,25,171,0,15,0,3,153
19-Mar,27,198,5,20,1,4,174
20-Mar,58,256,3,23,0,4,229
21-Mar,78,334,0,23,0,4,307
22-Mar,69,403,0,23,3,7,373
23-Mar,94,497,2,25,2,9,463
24-Mar,74,571,15,40,1,10,521
25-Mar,86,657,3,43,1,11,603
26-Mar,73,730,7,50,5,16,664
27-Mar,153,883,25,75,3,19,789
28-Mar,136,1019,10,85,5,24,910
29-Mar,120,1139,17,102,3,27,1010
30-Mar,187,1326,35,137,14,41,1148
31-Mar,309,1635,13,150,6,47,1438
1-Apr,424,2059,19,169,6,53,1837
2-Apr,486,2545,22,191,16,69,2285
3-Apr,560,3105,39,230,14,83,2792
4-Apr,579,3684,56,286,13,96,3302
5-Apr,609,4293,43,329,22,118,3846
6-Apr,484,4777,65,394,16,134,4249
7-Apr,573,5350,75,469,27,161,4720
8-Apr,565,5915,96,565,20,181,5169
9-Apr,813,6728,70,635,46,227,5866
10-Apr,871,7599,151,786,22,249,6564
11-Apr,854,8453,186,972,41,290,7191
12-Apr,758,9211,114,1086,42,332,7793
13-Apr,1243,10454,112,1198,27,359,8897
14-Apr,1031,11485,167,1365,37,396,9724
15-Apr,886,12371,144,1509,27,423,10439
16-Apr,1061,13432,258,1767,26,449,11216
17-Apr,922,14354,273,2040,38,487,11827
18-Apr,1371,15725,426,2466,35,522,12737
19-Apr,1580,17305,388,2854,38,560,13891
20-Apr,1239,18544,419,3273,33,593,14678
21-Apr,1537,20081,703,3976,53,646,15459
22-Apr,1292,21373,394,4370,36,682,16321
23-Apr,1667,23040,642,5012,40,722,17306
24-Apr,1408,24448,484,5496,59,781,18171
25-Apr,1835,26283,442,5938,44,825,19520
26-Apr,1607,27890,585,6523,56,881,20486
27-Apr,1568,29458,580,7103,58,939,21416
28-Apr,1902,31360,636,7739,69,1008,22613
29-Apr,1705,33065,690,8429,71,1079,23557
30-Apr,1801,34866,630,9059,75,1154,24653
1-May,2396,37262,962,10021,77,1231,26010
2-May,2564,39826,831,10852,92,1323,27651
3-May,2952,42778,911,11763,140,1463,29552
4-May,3656,46434,1082,12845,103,1566,32023
5-May,2971,49405,1295,14140,128,1694,33571
6-May,3602,53007,1161,15301,91,1785,35921
7-May,3344,56351,1475,16776,104,1889,37686
8-May,3339,59690,1111,17887,97,1986,39817
9-May,3175,62865,1414,19301,115,2101,41463
10-May,4311,67176,1669,20970,112,2213,43993
11-May,3592,70768,1579,22549,81,2294,45925
12-May,3562,74330,1905,24454,120,2414,47462
13-May,3726,78056,1963,26417,137,2551,49088
14-May,3991,82047,1594,28011,97,2648,51388
15-May,3808,85855,2234,30245,104,2752,52858
16-May,652,86507,528,30773,7,2759,52975
